size,bedrooms,price
900,2,138000
950,2,142500
1000,2,151200
1050,2,156800
1100,2,164000
1150,2,171500
1200,3,182000
1250,3,188500
1300,3,197000
1350,3,204200
1400,3,214500
1450,3,222000
1500,3,231500
1550,3,239000
1600,3,248800
1650,3,257500
1700,3,265000
1750,3,276500
1800,3,288000
1850,3,297500
1900,3,308000
1950,3,317500
2000,3,330000
2050,3,340500
2100,4,355000
2150,4,365500
2200,4,378000
2250,4,389500
2300,4,402000
2350,4,415500
2400,4,428000
2450,4,440500
2500,4,452000
2550,4,466500
2600,4,478000
2650,4,492500
2700,4,505000
2750,4,518000
2800,4,532500
2850,4,545000
2900,4,560000
2950,4,574000
3000,5,590000
3050,5,603500
3100,5,618000
3150,5,633000
3200,5,648500
3250,5,664000
3300,5,678000
3350,5,692500
3400,5,708000
3450,5,722500
3500,5,738000
3550,5,754000
3600,5,769500
3650,5,785000
3700,6,802000
3750,6,819000
3800,6,836500
3850,6,852000
3900,6,871000
3950,6,889000
4000,6,908000
905,2,141000
1205,3,185000
1505,3,234000
1755,3,280500
2005,4,333000
2255,4,391500
2455,4,443000
2655,4,497000
2855,5,552500
3055,5,607000
3255,5,663000
3455,5,723000
3655,6,783000
3855,6,845000
4055,6,910000
950,2,146000
1250,3,190000
1550,3,242000
1850,3,302000
2150,4,367000
2450,4,434000
2750,4,513000
3050,5,605000
3350,5,690000
3650,6,790000
3950,6,890000
